id,name,now_cost,position,team,yellow_cards,own_goals,influence_rank_type,direct_freekicks_order,selected_rank,form_rank,threat,cost_change_start,value_season,saves,transfers_out_event,expected_goals_per_90,ict_index_rank_type,in_dreamteam,selected_rank_type,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,expected_goal_involvements,transfers_out,form_rank_type,status,expected_goals,total_points,chance_of_playing_next_round,ict_index,clean_sheets,web_name,chance_of_playing_this_round,goals_conceded,points_per_game_rank,starts,goals_conceded_per_90,penalties_saved,expected_goals_conceded,influence_rank,expected_assists_per_90,region,news,expected_assists,bonus,ep_this,ep_next,news_added,minutes,starts_per_90,selected_by_percent,now_cost_rank_type,cost_change_event,points_per_game_rank_type,expected_goals_conceded_per_90,saves_per_90,cost_change_event_fall,dreamteam_count,event_points,threat_rank_type,transfers_in,goals_scored,threat_rank,can_select,penalties_missed,form,clean_sheets_per_90,assists,influence,ict_index_rank,creativity,penalties_order,creativity_rank_type,creativity_rank,points_per_game,bps,red_cards,cost_change_start_fall,value_form,now_cost_rank,transfers_in_event
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0,314,,637,684,0.0,-1,0.0,0,6,0.0,314,False,278,,0.0,0.00,2766,310,u,0.00,0,0.0,0.0,0,Fábio Vieira,0.0,0,691,0,0.0,0,0.00,691,0.0,,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.00,0,0.0,0.0,2024-08-29T11:06:25.241953Z,0,0.0,0.0,81,0,314,0.0,0.0,0,0,0,312,439,0,688,False,0,0.0,0.0,0,0.0,691,0.0,,314,690,0.0,0,0,1,0.0,136,0
2,Gabriel Fernando de Jesus,67,FWD,Arsenal,4,0,37,,208,304,95.0,-3,1.5,0,1703,0.35,32,False,37,,0.4,1.16,232282,39,a,1.02,10,100.0,18.3,1,G.Jesus,100.0,2,465,2,0.68,0,2.44,380,0.05,30.0,,0.14,0,1.8,1.8,2024-08-25T11:00:05.312580Z,264,0.68,0.9,17,-1,48,0.83,0.0,1,0,1,33,66896,0,166,True,0,0.8,0.34,0,26.6,298,64.5,,28,237,0.8,36,0,3,0.1,36,3479
3,Gabriel dos Santos Magalhães,62,DEF,Arsenal,1,0,14,,15,34,223.0,2,11.1,0,10413,0.13,13,True,5,,0.17,2.30,2063199,11,a,1.76,69,100.0,64.8,5,Gabriel,75.0,13,23,14,0.99,0,12.59,44,0.04,30.0,,0.54,7,4.3,5.8,2024-11-27T10:30:06.325759Z,1178,1.07,23.8,4,0,2,0.96,0.0,0,2,9,3,3087642,3,61,True,0,4.8,0.38,1,340.0,82,84.7,,49,202,4.9,244,0,-2,0.8,66,187097
4,Kai Havertz,79,FWD,Arsenal,2,0,12,,38,102,460.0,-1,7.7,0,45491,0.39,6,False,10,,0.47,7.06,2686754,20,a,5.81,61,100.0,93.4,5,Havertz,100.0,15,46,15,1.01,0,13.94,78,0.08,80.0,,1.25,7,4.0,4.0,2024-11-07T09:00:07.112803Z,1333,1.01,10.0,5,0,14,0.94,0.0,0,1,2,5,2213987,5,12,True,0,3.0,0.34,2,287.8,26,186.0,3.0,3,95,4.1,216,0,1,0.4,13,13455
5,Karl Hein,40,GKP,Arsenal,0,0,61,,559,446,0.0,0,0.0,0,47,0.0,61,False,68,,0.0,0.00,4041,55,u,0.00,0,0.0,0.0,0,Hein,0.0,0,523,0,0.0,0,0.00,519,0.0,,Loaned to Real Valladolid,0.00,0,0.0,0.0,2024-08-14T08:31:46.556082Z,0,0.0,0.0,61,0,61,0.0,0.0,0,0,0,29,0,0,459,False,0,0.0,0.0,0,0.0,521,0.0,,39,498,0.0,0,0,0,0.0,639,0
6,Jurriën Timber,57,DEF,Arsenal,3,0,66,,54,19,153.0,2,9.3,0,14401,0.05,30,False,18,,0.11,1.44,285606,5,a,0.67,53,100.0,51.4,5,J.Timber,100.0,10,65,13,0.8,0,10.14,172,0.06,152.0,,0.77,2,6.8,6.8,2024-10-04T13:30:05.569185Z,1130,1.04,7.4,9,0,13,0.81,0.0,0,1,6,9,960845,1,103,True,0,5.8,0.4,1,189.0,126,175.2,,21,104,3.8,187,0,-2,1.0,97,65270
7,Jorge Luiz Frello Filho,47,MID,Arsenal,3,0,173,,334,242,3.0,-3,2.1,0,735,0.01,177,False,108,,0.08,0.35,39142,121,a,0.04,10,,8.4,1,Jorginho,,4,363,5,0.92,0,2.92,373,0.07,106.0,,0.31,0,2.2,2.2,,391,1.15,0.2,211,0,176,0.67,0.0,0,0,1,204,24034,0,382,True,0,1.2,0.23,0,30.8,358,50.1,,166,270,1.2,63,0,3,0.3,324,539
8,Jakub Kiwior,48,DEF,Arsenal,0,0,120,,333,164,0.0,-2,2.7,0,2650,0.0,126,False,124,,0.01,0.03,22850,47,a,0.00,13,,6.3,1,Kiwior,,5,304,2,1.39,0,4.45,346,0.01,172.0,,0.03,0,3.0,3.0,,323,0.56,0.2,37,0,96,1.24,0.0,0,0,0,232,22121,0,648,True,0,2.0,0.28,0,49.2,380,13.7,,115,352,1.6,39,0,2,0.4,314,923
9,Gabriel Martinelli Silva,67,MID,Arsenal,1,0,53,,116,259,334.0,-3,7.9,0,11720,0.24,35,False,34,,0.45,4.26,717898,134,a,2.30,53,100.0,75.8,5,Martinelli,100.0,9,68,10,0.95,0,8.87,147,0.21,30.0,,1.96,4,2.2,2.2,2024-10-18T16:00:06.884775Z,851,1.06,2.5,19,0,31,0.94,0.0,0,1,3,19,640283,3,34,True,0,1.2,0.53,2,218.4,57,205.9,,68,87,3.8,164,0,3,0.2,37,4023
12,Ethan Nwaneri,45,MID,Arsenal,0,0,162,,275,182,41.0,0,3.1,0,3067,0.13,161,False,85,,0.3,0.35,53543,89,a,0.15,14,,12.5,0,Nwaneri,,0,298,0,0.0,0,0.71,341,0.17,241.0,,0.20,0,2.8,2.8,,104,0.0,0.4,259,0,137,0.61,0.0,0,0,1,143,72885,1,257,True,0,1.8,0.0,0,53.2,329,30.6,,178,302,1.6,50,0,0,0.4,428,1666
